FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
39009,0.4,15.7,18.8,69.2,54.6,34705,675,64757
39013,0.9,3.8,19,89.2,56.8,42254,520,70400
39015,0.7,4.9,15.6,88.8,58.6,43439,666,44846
39017,0.7,5.6,20.2,85,66.5,55895,789,368130
39021,0.5,4.2,20.2,84.2,62.1,47947,660,40097
39023,0.7,6.2,23.3,85.1,59.7,41235,658,138333
39025,0.7,4.6,18.9,89.5,66.4,56530,759,197363
39027,0.7,5.6,21.4,85.1,62.9,42269,668,42040
39029,0.7,4.7,17.9,87,59.4,41930,583,107841
39031,0.6,4.8,17,88.1,58,41125,571,36901
39035,0.9,4.8,22.3,85.3,63.5,42500,722,1280122
39039,0.5,5.6,21.4,85.4,64.6,46467,637,39037
39041,0.6,3,18.2,88.3,70.7,87890,858,174214
39043,0.6,4.8,20.9,86.3,63.3,45870,686,77079
39045,0.6,4.2,21.4,85.1,66.2,60375,773,146156
39047,0.6,6.5,18,84.8,61.5,37753,698,29030
39049,0.6,8.2,21,80,69.3,49670,800,1163414
39051,0.5,3.6,21.6,88.3,67.2,51644,671,42698
39053,0.6,4.8,18.9,88.4,52.6,37830,584,30934
39057,0.6,5,21.2,86.2,62.7,55153,825,161573
39059,0.7,4.6,20.1,87.9,58.1,38102,576,40087
39061,0.6,6.2,20.5,83.3,66,47643,692,802374
39063,0.4,6.3,21.2,84.2,67.8,49400,659,74782
39065,0.4,5.3,15.9,84.2,60.3,41367,628,32058
39069,0.4,3.9,20.1,89.8,65,48576,669,28215
39071,0.7,5,20.2,84.3,58.3,38198,611,43589
39073,0.6,5.1,18.3,88.3,58,40981,555,29380
39081,0.8,4.3,18.3,90.6,55.2,41095,600,69709
39087,0.7,4.3,18.3,87.7,53.4,40232,620,62450
39089,0.6,4.9,21.6,86.6,66.7,53984,728,166492
39091,0.5,5.2,16.2,86.6,61.7,44853,676,45858
39093,0.7,4.5,23.1,86.1,63.3,50230,726,301356
39095,0.6,6.2,23.8,83.2,63.8,40416,646,441815
39097,0.5,4.3,21.7,85.8,58.9,55121,736,43435
39099,1,4.5,21.7,89,59.2,40005,619,238823
39101,0.6,5.8,22.1,80.8,53.4,41222,688,66501
39103,0.8,3.8,22.4,89.8,68.3,63609,813,172332
39109,0.6,4.9,20.7,85.1,65.1,50594,700,102506
39111,0.6,,,,,,,14642
39113,0.7,5.3,24.9,82.3,61.6,42100,710,535153
39117,0.8,4.2,21.1,89.5,63.7,51623,698,34827
39119,0.6,6.4,20.2,86.2,61,39829,622,86074
39125,0.4,,,,,,,19614
39129,0.6,5.7,18.5,84,58.7,54294,722,55698
39131,0.6,4.7,14.4,85.4,54,35939,652,28709
39133,0.7,7.8,20.3,83.2,67,51201,775,161419
39135,0.7,4.2,21.7,86.8,64.3,47757,713,42270
39139,0.6,4.8,21.4,85.3,57.7,41697,614,124475
39141,0.6,5.6,19.3,86,55.4,43089,648,78064
39145,0.7,6,21.7,87.6,50,35269,547,79499
39149,0.5,5,17.9,89,65.2,51145,685,49423
39151,0.7,4.6,21.3,87.4,63.5,44333,662,375586
39153,0.7,5.5,20.6,88.8,64.9,48252,730,541781
39155,0.9,3.9,19.2,88.8,56.7,41671,612,210312
39157,0.6,3.9,16.6,89.3,63,42636,627,92582
39159,0.5,3.7,21.2,84.8,65,62622,757,52300
39165,0.7,3.4,18.2,87.8,68.1,71134,895,212693
39169,0.6,4,16.3,87.2,64.5,47795,657,114520
39171,0.5,5.1,20.5,82.2,61.8,40593,600,37642
39173,0.4,8.5,23,79.7,67.1,50284,706,125488
40001,0.6,3.7,20.3,92.7,54.9,33900,514,22683
40003,0.3,,,,,,,5642
40011,0.4,,,,,,,11943
40013,0.7,6.1,22.3,80.6,61.2,37663,637,42416
40017,0.6,4.2,29,84.6,68.3,60978,805,115541
40037,0.8,4.4,24.7,88.9,58.5,41962,643,69967
40057,0.8,,,,,,,2922
40067,0.9,,,,,,,6472
40071,0.4,5.3,24.4,80.2,61,40097,597,46562
40073,0.5,,,,,,,15034
40075,0.5,,,,,,,9446
40077,0.6,,,,,,,11154
40079,0.7,5.4,22.6,87.2,52.4,34650,549,50384
40081,0.7,3,24.5,88.5,59,40915,551,34273
40083,0.6,3.3,25.9,84.2,60.7,53032,643,41848
40087,0.6,3.1,25.2,87.5,63,53638,673,34506
40093,0.3,,,,,,,7527
40095,0.6,,,,,,,15840
40101,0.7,4.4,24,84.8,54.8,38156,613,70990
40103,0.6,,,,,,,11561
40107,0.6,,,,,,,12191
40109,0.7,6.1,24.8,79.8,65.8,44271,744,718633
40111,0.7,5.2,24.2,81.5,54.9,37617,591,40069
40117,0.6,,,,,,,16577
40121,0.7,4.7,23.8,84.5,53.5,40689,655,45837
40125,0.7,4.9,25,85.5,58.4,41584,656,69442
40127,0.7,,,,,,,11572
40135,0.7,4.8,21.1,83.9,55.8,38020,616,42391
40137,0.6,4,24.3,80,58.3,43790,620,45048
40139,0.5,5.8,19.5,83,70.2,46805,632,20640
40141,0.7,,,,,,,7992
40143,0.6,5.6,24.2,82.1,67,46893,736,603403
40149,0.4,,,,,,,11629
40153,0.4,5.8,24.7,87.2,63.8,51162,620,20081
41003,0.5,13.2,22.2,81,59.3,46238,790,85579
41017,0.7,6.6,29.8,80.2,62.4,47265,906,157733
41019,0.9,6.2,30.2,82.2,52,38974,755,107667
41029,0.8,7.8,29.2,81.1,60,42424,854,203206
41041,0.9,6,28.1,83.7,56.8,42342,809,46034
41043,0.8,7.2,31.4,86,57.7,44296,766,116672
41047,0.7,6.3,27,81.3,62.5,45405,780,315335
41049,0.9,,,,,,,11173
41053,0.7,6.6,26.7,80.7,59.4,50178,786,75403
41059,0.7,5.9,28,81.1,62.3,46305,658,75889
41061,0.6,6.4,26.6,83,55.7,41462,638,25748
41071,0.8,7.5,24.8,84.4,62.8,51055,862,99193
44001,1,4.2,15.6,88.3,65.2,66288,893,49875
44003,1.1,5.4,19.7,90.3,69,59707,968,166158
44005,0.7,5.8,17.9,85.3,67.4,70723,1113,82888
44007,1.2,7.5,18.5,85.4,64.8,48225,857,626667
45001,0.9,4.1,21,89.7,53.4,35335,549,25417
45003,0.8,3.6,22.1,86.9,57.1,43555,708,160099
45005,0.8,,,,,,,10419
45007,0.9,3.8,20.4,86.4,58.7,40044,658,187126
45009,0.9,,,,,,,15987
45011,0.8,5.2,20.9,91.9,56.5,35189,640,22621
45013,0.7,5,20.5,81.2,58.5,56369,995,162233
45015,0.8,4.3,24.4,82.5,65.9,50680,952,177843
45017,0.8,,,,,,,15175
45019,0.7,8.5,20.3,79.5,65.7,49914,940,350209
45021,0.9,4.3,17.9,84.7,57.1,33030,641,55342
45023,0.9,4.5,18.1,92.3,55.9,31867,590,33140
45025,0.7,4.9,16.1,90.8,56.2,30979,606,46734
45027,1,4.6,20.1,88.8,50.4,32331,598,34971
45029,0.9,3.4,19.1,93.6,54.3,30357,693,38892
45031,0.9,2.6,19.2,87.9,57.2,35225,587,68681
45033,1,5.5,18.5,88,53.1,26063,548,32062
45035,0.8,3.5,24.8,83.3,66.6,52177,955,136555
45037,0.8,2.1,19.1,87.3,51.4,44651,560,26985
45041,0.9,4.7,20.5,85.4,61.6,41147,655,136885
45043,0.9,4.4,20.5,88.9,51.9,38985,790,60158
45045,0.7,4.3,20.4,84.2,64.3,48076,740,451225
45047,0.7,4.6,17.1,83.4,58.3,35165,656,69661
45049,0.8,4,18.2,88.4,56.3,35734,631,21090
45051,0.9,7.4,22.7,82.6,60.8,40655,822,269291
45053,0.9,5.8,17.4,81.9,65.8,35741,754,24777
45055,0.8,4.4,22.4,84.4,61,41343,681,61697
45057,0.8,3.9,22.4,87.2,56.8,41845,611,76652
45059,0.8,3.7,19.5,88.2,58.1,36887,673,66537
45061,0.8,,,,,,,19220
45063,0.7,5.1,22.4,85.1,67.5,52911,803,262391
45067,1.1,3.4,17.4,93.1,55.1,28171,523,33062
45069,0.9,4.1,17.6,89.3,46.8,27648,562,28933
45073,0.7,6.5,19,82.7,53.9,42254,680,74273
45075,0.9,3.5,17.2,89.9,54.3,32687,666,92501
45077,0.7,7.3,19.3,81,57.7,40244,690,119224
45079,0.6,7.2,22.6,77.8,67.5,47147,833,384504
45081,0.9,,,,,,,19875
45083,0.8,4.2,20,84.4,61.6,42243,679,284307
45085,0.8,4,23.9,86.3,60.2,40280,710,107456
45087,0.9,3.7,18.6,87.9,54.8,33186,601,28961
45089,0.9,3.8,17.3,93.1,45.6,25169,575,34423
45091,0.8,3.6,20.9,86,67.3,51542,782,226073
46009,0.3,,,,,,,7070
46013,0.3,5.1,21.5,84.2,71.6,51047,558,36531
46023,0.4,,,,,,,9129
46029,0.3,6,21,86.9,72,46720,579,27227
46033,0.5,,,,,,,8216
46057,0.3,,,,,,,5903
46065,0.3,,,,,,,17022
46071,0.7,,,,,,,3031
46081,0.4,5.5,23.5,83.1,65.9,44042,576,24097
46083,0.3,4.3,19.1,86.3,77.1,74288,834,44828
46099,0.4,6.1,20.9,83.8,74,50604,691,169468
46103,0.4,6.9,25.9,80.2,69.2,49637,753,100948
46105,0.6,,,,,,,2982
46125,0.3,,,,,,,8347
47001,0.8,3.5,21.9,84.5,57.1,42304,665,75129
47003,0.9,4.4,17.7,87.4,59.3,40203,636,45058
47007,0.9,,,,,,,12876
47009,0.9,3.7,22.3,84.7,60,45204,715,123010
47011,0.8,5.4,22.9,82.9,60.1,38823,690,98963
47013,0.9,3.6,15.9,86.2,46.9,30555,538,40716
47017,0.8,3,18.4,89.2,53.7,35073,520,28522
47019,0.8,4.9,20.1,86.4,55.2,32847,525,57424
47021,0.9,4.9,19.6,89.1,65,49703,893,39105
47023,0.7,,,,,,,17131
47025,0.8,3.5,13,88.2,49.4,32525,517,32213
47027,0.7,,,,,,,7861
47029,0.8,3.9,15.2,84,53.8,28509,527,35662
47031,0.8,4.4,17.3,85.7,58,34885,635,52796
47033,0.7,,,,,,,14586
47035,0.9,4.7,19.5,87.7,46.5,36957,591,56053
47041,0.8,,,,,,,18723
47043,0.8,4.2,20.8,86.8,61.1,43448,744,49666
47045,0.7,3.8,17.5,83.4,58.7,36931,613,38335
47051,0.8,3.8,20.3,87.7,55,41548,587,41052
47053,0.8,3.5,24.3,87.4,57.9,36493,573,49683
47055,0.8,4.2,18.8,89.8,56.8,37027,550,29485
47059,0.9,3.9,17.9,87.2,54.5,34797,566,68831
47063,0.8,4.1,18,86.6,58.8,37293,638,62544
47065,0.9,4.9,24.3,83.8,63.4,46068,731,336463
47069,0.7,2.3,18.9,92.1,46.4,27641,520,27253
47071,0.9,3.3,17.2,88.7,52.3,31035,484,26026
47075,0.8,,,,,,,18787
47077,0.6,3.7,20.8,91.1,57.1,36387,578,27769
47079,0.7,4.2,19.4,83.2,55.5,37398,588,32330
47081,0.7,5.1,17,88,54.3,40166,624,24690
47089,0.8,6.7,21,84.8,60.2,38872,618,51407
47091,0.8,,,,,,,18244
47093,0.7,5.4,20.7,86.5,64.3,45761,757,432226
47095,0.5,,,,,,,7832
47097,0.7,3.8,15.7,78.3,49.4,31465,610,27815
47099,0.6,3.3,17.8,89.6,59.8,36607,586,41869
47101,0.9,,,,,,,12161
47103,0.8,4.2,21.3,87.3,59.6,40981,612,33361
47105,0.8,2.8,20.3,87.7,55,47096,682,48556
47107,0.8,3.7,18.6,84.4,54.4,38585,567,52266
47109,0.7,4.3,18.4,94.2,51.1,30926,532,26075
47111,0.6,4.7,16.6,85.2,59.5,34515,534,22248
47113,0.7,4,21.8,87.2,60.6,41317,721,98294
47119,0.8,4.4,22.7,85.3,64,43967,667,80956
47125,0.6,5.7,26.8,74.8,66.4,48605,827,172331
47127,0.7,,,,,,,6362
47129,0.7,4.3,17.3,84.1,43.4,36979,572,21987
47131,0.7,3.7,20.2,86.4,56.2,40113,577,31807
47133,0.7,2.5,17.4,89.7,52.8,32310,553,22083
47141,0.6,5.8,19,84.2,56.6,33539,571,72321
47145,0.8,3.5,20.9,89.5,53.5,42357,663,54181
47147,0.9,3.9,22.1,87.9,65.3,52578,805,66283
47149,0.7,6.8,24.1,82.5,70.2,53675,848,262604
47151,0.7,5.7,13.5,88.3,50.7,29302,530,22228
47153,0.8,,,,,,,14112
47155,0.9,5.4,22.9,83.5,65.8,42883,702,89889
47157,0.9,5.3,23.8,82.7,65.5,45488,837,927644
47159,0.7,,,,,,,19166
47163,0.8,4.1,21.1,85.4,56.4,38899,594,156823
47165,0.8,4.2,23.9,84.3,65.1,52996,820,160645
47167,0.8,3.4,25.4,85,63.8,51213,672,61081
47171,0.7,,,,,,,18313
47177,0.7,3.5,15.9,90.4,54.7,31122,556,39839
47179,0.7,5.7,21.8,84.3,59.3,42937,668,122979
47183,0.5,6,20.2,78.4,59.1,35164,561,35021
47185,0.8,4.3,13.8,86.4,55.7,33913,561,25841
47187,0.7,2.5,18.5,87.5,68.9,87959,1061,183182
47189,0.8,3.8,20.6,86.5,64.7,58983,844,113993
48027,0.6,5.5,28.7,76.5,66.1,49643,850,310235
48039,1,3.7,24.2,87.1,65.1,65308,861,313166
48057,0.8,3.3,23.3,84.9,60.9,45430,712,21381
48085,1,3.9,21.1,86,72.5,82296,1028,782341
48113,0.9,5.4,20.2,82.8,68.5,48509,864,2368139
48121,0.8,5.5,25,80.8,74.6,71857,917,662614
48167,1,5,23.9,82.6,66.1,60597,887,291309
48183,0.7,5,26.5,80.9,62.3,43021,759,121730
48187,0.9,3.5,23.4,87.3,68.3,61822,832,131533
48201,1,5.2,21.1,82,68.3,51902,863,4092459
48251,0.9,4.7,27,86,64.2,56579,851,150934
48299,0.8,,,,,,,19301
48303,0.6,8.2,25.2,75,67,43632,783,278831
48309,0.7,6.7,23.3,80.1,61.6,40894,749,234906
48339,0.9,5,24.5,83.5,66,65717,939,455746
48353,0.6,,,,,,,15216
48373,0.9,4.1,25.5,84.9,47,38350,627,45413
48375,0.7,5.6,26.2,79.5,62.2,35819,688,121073
48401,0.8,4.2,27.7,81.5,55.6,45822,643,53330
48409,0.8,4,26.3,83.1,61.6,50426,804,64804
48423,0.8,4.8,25.7,79.7,63,45131,812,209714
48439,0.9,4.8,24.6,82.5,69.5,55222,867,1809034
48451,0.7,5.6,22.7,74.1,64.5,43390,687,110224
48457,0.7,5.1,25.2,89,47,38767,583,21766
48469,0.7,4.6,25.5,82.2,64.6,49183,712,86793
49007,0.4,4.6,31.4,84.7,62,45897,572,21403
49011,0.5,2.8,28.1,86.1,69.6,68683,858,306479
49013,0.4,,,,,,,18607
49019,0.5,,,,,,,9225
49035,0.7,6.1,26.1,82.4,71.5,58732,878,1029655
49045,0.6,2.9,31,85.3,68.4,61970,869,58218
49047,0.5,4.3,26.1,84.2,66.7,60120,898,32588
49049,0.5,6.1,29.1,77.9,67.8,58675,843,516564
49051,0.4,3.1,29.7,85.1,69.1,62716,945,23530
49053,0.7,4.3,29.9,82.4,58,46936,935,138115
49057,0.5,5.2,27.9,85,68,54334,782,231236
50003,0.8,5.9,19.3,87.7,64.7,51223,844,37125
50005,0.6,6.3,18,87.6,65,42487,659,31227
50007,0.5,10.1,15.4,80.3,71.1,62204,991,156545
50011,0.5,5.9,19.1,89.3,70.4,53910,863,47746
50013,0.8,,,,,,,6970
50017,0.7,6.3,16.5,91.9,68.2,52141,809,28936
50019,0.7,7,17.3,87.4,59.3,39802,670,27231
50021,0.7,6.8,18,86.3,65.1,48533,802,61642
50025,0.6,6.9,18.6,88.2,66.6,50220,802,44513
50027,0.7,5.9,17.3,87.6,65.2,51812,823,56670
51003,0.7,5.7,15.7,82.5,60.3,67159,1083,98970
51005,0.7,,,,,,,16250
51009,0.9,4.5,20.4,90.2,61.3,43463,647,32353
51013,0.6,13.6,8.8,77.6,79.4,101319,1701,207627
51015,0.9,3.2,16.1,92.4,59.4,49784,763,73750
51019,0.8,4.1,21,92.2,63.1,56611,738,68676
51023,0.9,2,20.3,93.6,63.8,65417,710,33148
51027,0.7,4,19.5,93.4,44,30226,608,24098
51029,1,,,,,,,17146
51033,1.1,5.7,21.8,85.2,66.1,54553,958,28545
51035,0.7,2.8,19.8,91.7,56.5,31281,510,30042
51041,0.9,4.7,22.2,88.5,68.6,71492,1055,316236
51043,1,,,,,,,14034
51047,1.1,5,20.3,87.9,64,61297,978,46689
51057,1,,,,,,,11151
51059,1.2,5.7,14.7,86.2,73.3,107923,1631,1081726
51061,1.1,3.8,22.8,89.6,69.1,90657,1119,65203
51067,0.8,4.1,21.8,85.7,56.9,42175,626,56159
51069,1,5.7,20.9,88.1,66.6,68795,1055,78305
51071,0.9,,,,,,,17286
51073,0.9,4.2,27,89,62.9,59927,841,36858
51083,1,2.6,20.8,89.9,54,34819,557,36241
51085,1,2.6,20.8,90.3,67.1,73664,961,99863
51087,0.9,5.3,21.1,82.5,70.1,59739,989,306935
51089,0.8,3.1,20.7,88,55.6,32914,576,54151
51093,1,2.9,21.4,91.3,67,66781,988,35270
51095,0.8,4.9,17.9,90.3,59.6,76569,1159,67009
51097,1.2,,,,,,,6945
51099,0.9,3.7,21.1,86.9,70.8,88382,1100,23584
51101,1,,,,,,,15935
51105,0.7,4.5,24.2,89.5,43.6,31050,475,25587
51107,1.1,4.8,15.9,88.7,76.8,121621,1612,312311
51109,1,5.2,17.8,91.5,63,54649,949,33153
51113,1.3,,,,,,,13308
51115,1,,,,,,,8978
51117,0.9,4.9,21.4,91.5,49.4,34524,632,32727
51121,0.5,16.1,16.9,71.4,59.3,43247,810,94392
51127,1,,,,,,,18429
51131,1.1,,,,,,,12389
51133,1.1,,,,,,,12330
51139,1,5.6,17.1,89.5,58.6,41834,698,24042
51141,0.9,,,,,,,18490
51143,0.9,3.5,20.8,91.1,58.7,41730,592,63506
51147,0.8,7.1,18,81.6,46,36904,761,23368
51149,0.8,1.9,23.9,80.2,56.3,56898,1178,35725
51153,1.1,5.3,22.5,85.9,75.2,95427,1467,402002
51155,0.8,4.8,21.6,89.3,57.8,42981,597,34872
51161,0.8,2.8,22.3,88.1,64.7,60155,820,92376
51163,0.8,3.5,19.6,91.3,53.9,46104,692,22307
51165,0.7,3.9,15.1,89.4,64.2,51099,786,76314
51167,0.6,3.8,18.7,92.1,48.5,32797,502,28897
51169,0.8,2.7,18.5,90.3,51.2,34484,477,23177
51171,0.9,6.1,16.2,84.9,61.4,47968,810,41993
51173,0.8,4.4,18.1,86.3,55,35540,540,32208
51175,1,,,,,,,18570
51177,1,4.5,21.8,87.1,69,78089,1303,122397
51179,1,3.6,23.5,85.1,71.6,97136,1399,128961
51183,0.9,,,,,,,12087
51185,0.8,3.8,22.1,89.3,48.2,33810,547,45078
51187,1,4.8,20.4,87.9,68.5,59644,953,37575
51191,0.7,3.6,18.9,87.1,57.8,41193,619,54876
51195,0.7,6.2,20.4,87.1,47.6,34414,605,41452
51197,0.8,4.1,21.3,91.9,61.4,37468,611,29235
51199,0.9,2,21.5,84.8,66.1,78920,1324,65464
53003,0.6,5,27.8,82.4,55.1,41402,661,21623
53005,0.7,5.3,25.4,84.5,64.1,61244,782,175177
53007,0.7,5.5,22.4,89.3,62.6,49670,751,72453
53009,0.7,7.6,29,84.9,50.2,45776,817,71404
53011,0.8,6.4,28.7,83.4,64.6,56696,923,425363
53015,0.7,6.5,30.6,82.8,56.3,44749,725,102410
53021,0.7,5.8,21.7,83.6,65.2,55291,714,78163
53025,0.7,4.9,23.6,85.2,64.3,42904,648,89120
53029,0.7,4.7,29.1,83.6,60.9,58876,1035,78506
53033,0.8,8.4,20.6,81.4,69.7,69346,1096,1931249
53035,0.7,6.5,30,82.5,63.1,59684,1001,251133
53041,0.7,6.6,28.2,83.1,55.4,42192,742,75455
53045,0.8,8.2,31.4,87.8,52.5,45374,853,60699
53053,0.7,6.3,27.2,81.8,65.9,57837,987,795225
53061,0.8,6.8,27,83.1,68.5,66377,1076,713335
53065,0.7,5.7,28.6,87.3,51.8,40668,654,43531
53067,0.7,6.2,28.3,81.4,64.6,61741,996,252264
53073,0.6,9.1,25.4,81.9,63.8,52034,889,201140
53077,0.8,5.9,21.7,84.2,62.1,43480,742,243231
54003,0.8,6.4,21.9,84.5,65.9,52631,800,104169
54007,0.7,,,,,,,14523
54011,0.7,6.3,18.7,81.3,56,37707,619,96319
54019,0.8,5.3,18.4,90.6,45.7,32465,560,46039
54027,0.8,3.2,12,91.8,52.2,26018,493,23964
54031,0.5,,,,,,,14025
54033,0.8,4.7,19.8,89.5,55.6,40353,608,69099
54035,0.6,4.9,20.4,89.3,51.8,40007,550,29211
54037,1,5.5,19.3,85.4,66.8,63563,838,53498
54039,0.8,4.8,18.9,87.4,60.1,44972,667,193063
54043,0.8,3.2,18.8,92.7,44.1,33960,548,21720
54045,0.9,4.4,19.5,87.8,44.2,35222,540,36743
54049,0.7,5,20.8,91.6,57.8,41238,640,56418
54051,0.7,5.4,18.2,89.9,54.4,39895,498,33107
54053,0.6,5.1,19.5,89.6,47.3,38737,504,27324
54055,0.8,4.4,19.1,89,49.2,35124,548,62264
54057,0.8,4,14.5,90.9,52.8,28702,514,28212
54059,0.5,5.6,15.7,89.1,43.9,37133,514,26839
54061,0.5,13.7,16.8,80.1,59.6,42698,704,96189
54063,0.9,,,,,,,13502
54067,0.6,3.1,15.9,88.9,50.5,38098,522,26233
54069,0.8,4.6,20.8,87.3,60.5,39379,537,44443
54073,0.6,,,,,,,7605
54077,0.7,5.5,18.6,85.1,54.9,45327,547,33520
54079,0.7,5.1,19.1,94.6,60.1,53661,699,55486
54081,0.8,4.9,18.9,86.4,49.2,39757,620,78859
54083,0.7,2.3,12,90.5,51.9,38288,538,29405
54087,0.7,,,,,,,14926
54097,0.6,5.6,15.3,85.8,50.9,40229,535,24254
54099,0.7,4.4,18,93.9,48.2,34638,543,42481
54105,0.6,,,,,,,5717
54107,0.6,6,25.2,89.4,58.3,41026,586,86956
55005,0.5,5.6,19.3,86.9,64.8,44276,599,45870
55009,0.4,5.6,20.7,85.8,70,51975,682,248007
55015,0.4,3.1,16.7,93.2,71.2,64802,652,48971
55021,0.5,5.7,23.8,87,70.2,56892,723,56833
55025,0.4,9.1,18.6,79.6,73.3,61125,880,488073
55039,0.5,4.9,20.5,86.9,70,52999,676,101633
55063,0.4,8.8,20.9,81.3,69.1,49286,719,114638
55071,0.5,3.9,20.3,93.3,66.9,48114,589,81442
55079,0.6,7.2,21.9,81.1,66.3,42097,777,947735
55085,0.6,4.3,26.7,89,59.1,41677,686,35998
55087,0.4,4.4,20.2,88.9,71.2,57104,703,176695
55093,0.3,8.6,25.1,82.9,71.2,57586,752,41019
55099,0.6,,,,,,,14159
55109,0.4,4.2,21.2,87.5,74.3,67098,860,84345
55113,0.7,,,,,,,16557
